node_id,threshold,feature_id,left_children_id,right_children_id,class
0,-0.32231950759887695,119,1,268,"hiphop"
1,-0.37481099367141724,503,2,223,"disco"
2,-0.17831800132989883,340,3,40,"classical"
3,2.1722660064697266,1,4,19,"classical"
4,0.017287999857217073,0,5,14,"classical"
5,0.97189000248909,18,6,7,"jazz"
6,-2.0,-2,-1,-1,"jazz"
7,0.6244750022888184,297,8,13,"classical"
8,-0.37664350867271423,396,9,10,"country"
9,-2.0,-2,-1,-1,"country"
10,0.6287745181471109,305,11,12,"disco"
11,-2.0,-2,-1,-1,"reggae"
12,-2.0,-2,-1,-1,"disco"
13,-2.0,-2,-1,-1,"classical"
14,-0.3634689897298813,453,15,18,"classical"
15,-0.21278100460767746,75,16,17,"classical"
16,-2.0,-2,-1,-1,"classical"
17,-2.0,-2,-1,-1,"country"
18,-2.0,-2,-1,-1,"jazz"
19,-0.3905024975538254,112,20,33,"jazz"
20,1.9759084582328796,275,21,24,"blues"
21,-0.3868414908647537,104,22,23,"blues"
22,-2.0,-2,-1,-1,"blues"
23,-2.0,-2,-1,-1,"classical"
24,0.08003850094974041,34,25,26,"country"
25,-2.0,-2,-1,-1,"pop"
26,-0.37237749993801117,398,27,30,"country"
27,-0.43230000138282776,424,28,29,"jazz"
28,-2.0,-2,-1,-1,"jazz"
29,-2.0,-2,-1,-1,"rock"
30,4.012238025665283,256,31,32,"country"
31,-2.0,-2,-1,-1,"country"
32,-2.0,-2,-1,-1,"classical"
33,-0.3317619860172272,357,34,35,"jazz"
34,-2.0,-2,-1,-1,"classical"
35,-0.602742999792099,248,36,39,"jazz"
36,-0.46056848764419556,196,37,38,"disco"
37,-2.0,-2,-1,-1,"rock"
38,-2.0,-2,-1,-1,"disco"
39,-2.0,-2,-1,-1,"jazz"
40,-0.6804875135421753,218,41,66,"disco"
41,-0.38716600835323334,114,42,53,"rock"
42,0.6209174990653992,315,43,46,"rock"
43,1.0935630202293396,70,44,45,"rock"
44,-2.0,-2,-1,-1,"rock"
45,-2.0,-2,-1,-1,"blues"
46,-0.7753024995326996,478,47,48,"metal"
47,-2.0,-2,-1,-1,"metal"
48,-0.34310300648212433,96,49,50,"blues"
49,-2.0,-2,-1,-1,"country"
50,-0.47652600705623627,436,51,52,"blues"
51,-2.0,-2,-1,-1,"blues"
52,-2.0,-2,-1,-1,"rock"
53,-0.19026149809360504,372,54,55,"metal"
54,-2.0,-2,-1,-1,"metal"
55,0.27257800102233887,295,56,57,"disco"
56,-2.0,-2,-1,-1,"blues"
57,1.063246488571167,284,58,65,"disco"
58,0.6208444833755493,339,59,64,"rock"
59,-0.12052899971604347,367,60,61,"hiphop"
60,-2.0,-2,-1,-1,"hiphop"
61,-0.005084007978439331,404,62,63,"metal"
62,-2.0,-2,-1,-1,"metal"
63,-2.0,-2,-1,-1,"reggae"
64,-2.0,-2,-1,-1,"rock"
65,-2.0,-2,-1,-1,"disco"
66,-0.6469569802284241,509,67,82,"disco"
67,-0.6074814796447754,466,68,73,"disco"
68,-0.3594435006380081,378,69,70,"blues"
69,-2.0,-2,-1,-1,"blues"
70,0.07891200482845306,52,71,72,"country"
71,-2.0,-2,-1,-1,"country"
72,-2.0,-2,-1,-1,"metal"
73,-0.39339399337768555,123,74,75,"disco"
74,-2.0,-2,-1,-1,"disco"
75,-0.39293400943279266,153,76,81,"disco"
76,-0.3486514985561371,100,77,78,"blues"
77,-2.0,-2,-1,-1,"country"
78,-0.3599510043859482,435,79,80,"blues"
79,-2.0,-2,-1,-1,"blues"
80,-2.0,-2,-1,-1,"hiphop"
81,-2.0,-2,-1,-1,"disco"
82,0.5711124837398529,20,83,162,"country"
83,-0.2771185040473938,351,84,95,"blues"
84,-0.24489899724721909,84,85,90,"jazz"
85,0.7172419726848602,32,86,89,"jazz"
86,-0.26990899443626404,425,87,88,"jazz"
87,-2.0,-2,-1,-1,"jazz"
88,-2.0,-2,-1,-1,"country"
89,-2.0,-2,-1,-1,"classical"
90,0.7994260042905807,12,91,92,"reggae"
91,-2.0,-2,-1,-1,"reggae"
92,-0.4719264805316925,496,93,94,"country"
93,-2.0,-2,-1,-1,"country"
94,-2.0,-2,-1,-1,"blues"
95,8.034478187561035,259,96,157,"blues"
96,1.2958654761314392,291,97,144,"blues"
97,-0.5385814905166626,161,98,101,"reggae"
98,-0.6332225203514099,207,99,100,"reggae"
99,-2.0,-2,-1,-1,"pop"
100,-2.0,-2,-1,-1,"reggae"
101,-0.3416939973831177,106,102,129,"blues"
102,0.09834900125861168,316,103,110,"blues"
103,-0.45936650037765503,224,104,109,"classical"
104,0.15919800102710724,44,105,108,"hiphop"
105,0.7927700281143188,288,106,107,"jazz"
106,-2.0,-2,-1,-1,"disco"
107,-2.0,-2,-1,-1,"jazz"
108,-2.0,-2,-1,-1,"hiphop"
109,-2.0,-2,-1,-1,"classical"
110,-0.13731949776411057,59,111,118,"blues"
111,-0.02909399988129735,364,112,117,"blues"
112,-0.2255150005221367,450,113,116,"blues"
113,-0.3747514933347702,391,114,115,"blues"
114,-2.0,-2,-1,-1,"classical"
115,-2.0,-2,-1,-1,"blues"
116,-2.0,-2,-1,-1,"reggae"
117,-2.0,-2,-1,-1,"country"
118,4.551974534988403,270,119,128,"country"
119,-0.33181101083755493,416,120,121,"country"
120,-2.0,-2,-1,-1,"country"
121,-0.5743200182914734,245,122,123,"hiphop"
122,-2.0,-2,-1,-1,"hiphop"
