node_id,threshold,feature_id,left_children_id,right_children_id,class
0,-0.7462214827537537,234,1,18,"rock"
1,-0.3006819933652878,115,2,17,"metal"
2,-0.05158100090920925,72,3,8,"metal"
3,0.6940700113773346,315,4,5,"rock"
4,-2.0,-2,-1,-1,"rock"
5,0.08400849997997284,46,6,7,"blues"
6,-2.0,-2,-1,-1,"blues"
7,-2.0,-2,-1,-1,"metal"
8,-0.7458710074424744,466,9,12,"metal"
9,1.3271775245666504,292,10,11,"rock"
10,-2.0,-2,-1,-1,"rock"
11,-2.0,-2,-1,-1,"disco"
12,0.04783149994909763,38,13,14,"metal"
13,-2.0,-2,-1,-1,"disco"
14,-0.48488549888134,419,15,16,"metal"
15,-2.0,-2,-1,-1,"rock"
16,-2.0,-2,-1,-1,"metal"
17,-2.0,-2,-1,-1,"metal"
18,1.2099969983100891,8,19,88,"hiphop"
19,-0.3338809907436371,125,20,65,"hiphop"
20,-0.3266880065202713,220,21,64,"reggae"
21,-0.4610705077648163,409,22,25,"reggae"
22,1.5611975193023682,266,23,24,"jazz"
23,-2.0,-2,-1,-1,"rock"
24,-2.0,-2,-1,-1,"jazz"
25,9.84959077835083,258,26,55,"reggae"
26,-0.3927434980869293,84,27,30,"hiphop"
27,-0.3484944999217987,424,28,29,"classical"
28,-2.0,-2,-1,-1,"classical"
29,-2.0,-2,-1,-1,"pop"
30,-0.360600009560585,73,31,32,"hiphop"
31,-2.0,-2,-1,-1,"hiphop"
32,0.03327199909836054,323,33,38,"pop"
33,0.6559484899044037,291,34,35,"pop"
34,-2.0,-2,-1,-1,"jazz"
35,-0.39746400713920593,413,36,37,"pop"
36,-2.0,-2,-1,-1,"country"
37,-2.0,-2,-1,-1,"pop"
38,-0.020957999862730503,326,39,40,"hiphop"
39,-2.0,-2,-1,-1,"reggae"
40,-0.568849503993988,223,41,48,"hiphop"
41,-0.4651139974594116,459,42,47,"country"
42,-0.5404099822044373,469,43,46,"country"
43,0.21377749927341938,82,44,45,"metal"
