node_id,threshold,feature_id,left_children_id,right_children_id,class
0,-0.2734825015068054,9,1,80,"country"
1,-0.1666480004787445,4,2,19,"classical"
2,-0.09696049988269806,25,3,12,"classical"
3,-0.27326449751853943,19,4,7,"classical"
4,-0.27246999740600586,40,5,6,"classical"
5,-2.0,-2,-1,-1,"hiphop"
6,-2.0,-2,-1,-1,"classical"
7,0.6184464991092682,2,8,9,"disco"
8,-2.0,-2,-1,-1,"disco"
9,-0.25469399988651276,11,10,11,"classical"
10,-2.0,-2,-1,-1,"classical"
11,-2.0,-2,-1,-1,"country"
12,-0.2681489884853363,8,13,18,"reggae"
13,-0.293673500418663,16,14,15,"classical"
14,-2.0,-2,-1,-1,"jazz"
15,-0.07984849810600281,21,16,17,"classical"
16,-2.0,-2,-1,-1,"classical"
17,-2.0,-2,-1,-1,"pop"
18,-2.0,-2,-1,-1,"reggae"
19,-0.21118099987506866,37,20,63,"blues"
20,-0.21136699616909027,6,21,42,"blues"
21,-0.24507950246334076,12,22,39,"country"
22,-0.20541200041770935,36,23,36,"blues"
23,-0.18872849643230438,32,24,35,"blues"
24,-0.28039149940013885,18,25,32,"blues"
25,0.7536164820194244,0,26,29,"blues"
26,-0.3017839938402176,17,27,28,"hiphop"
27,-2.0,-2,-1,-1,"hiphop"
28,-2.0,-2,-1,-1,"rock"
29,-0.14953100681304932,4,30,31,"blues"
30,-2.0,-2,-1,-1,"hiphop"
31,-2.0,-2,-1,-1,"blues"
32,6.243026494979858,1,33,34,"country"
33,-2.0,-2,-1,-1,"country"
34,-2.0,-2,-1,-1,"reggae"
35,-2.0,-2,-1,-1,"country"
36,-0.13196000084280968,28,37,38,"jazz"
37,-2.0,-2,-1,-1,"jazz"
38,-2.0,-2,-1,-1,"reggae"
39,-0.1887819990515709,35,40,41,"country"
40,-2.0,-2,-1,-1,"country"
41,-2.0,-2,-1,-1,"blues"
42,-0.18962599337100983,30,43,52,"blues"
43,-0.3092060089111328,11,44,45,"reggae"
44,-2.0,-2,-1,-1,"jazz"
45,-0.2495350018143654,16,46,51,"reggae"
46,0.8052684962749481,0,47,48,"reggae"
47,-2.0,-2,-1,-1,"reggae"
48,-0.2251484990119934,32,49,50,"blues"
49,-2.0,-2,-1,-1,"reggae"
50,-2.0,-2,-1,-1,"blues"
51,-2.0,-2,-1,-1,"metal"
52,-0.07502349838614464,25,53,62,"blues"
53,0.7253974974155426,0,54,55,"blues"
54,-2.0,-2,-1,-1,"disco"
55,-0.19801849871873856,21,56,57,"blues"
56,-2.0,-2,-1,-1,"rock"
57,-0.14263150095939636,26,58,61,"blues"
58,-0.20591899752616882,35,59,60,"blues"
59,-2.0,-2,-1,-1,"rock"
60,-2.0,-2,-1,-1,"blues"
61,-2.0,-2,-1,-1,"blues"
62,-2.0,-2,-1,-1,"reggae"
63,-0.18188399821519852,35,64,77,"jazz"
64,-0.13930100202560425,26,65,70,"jazz"
65,-0.14565200358629227,27,66,67,"jazz"
66,-2.0,-2,-1,-1,"jazz"
67,-0.27759700268507004,8,68,69,"blues"
68,-2.0,-2,-1,-1,"classical"
69,-2.0,-2,-1,-1,"blues"
70,-0.14501750469207764,28,71,76,"rock"
71,-0.24858199805021286,19,72,75,"country"
72,-0.15751850605010986,29,73,74,"country"
73,-2.0,-2,-1,-1,"country"
74,-2.0,-2,-1,-1,"jazz"
75,-2.0,-2,-1,-1,"hiphop"
76,-2.0,-2,-1,-1,"rock"
