node_id,threshold,feature_id,left_children_id,right_children_id,class
0,-0.2580605000257492,20,1,100,"metal"
1,0.7162394821643829,0,2,17,"reggae"
2,-0.24124599993228912,5,3,12,"classical"
3,0.8116365075111389,2,4,9,"classical"
4,-0.27275850623846054,41,5,6,"jazz"
5,-2.0,-2,-1,-1,"hiphop"
6,-0.22866400331258774,41,7,8,"jazz"
7,-2.0,-2,-1,-1,"jazz"
8,-2.0,-2,-1,-1,"classical"
9,-0.05826549790799618,3,10,11,"classical"
10,-2.0,-2,-1,-1,"classical"
11,-2.0,-2,-1,-1,"jazz"
12,-0.2807060033082962,17,13,16,"metal"
13,-0.21212299913167953,35,14,15,"disco"
14,-2.0,-2,-1,-1,"disco"
15,-2.0,-2,-1,-1,"rock"
16,-2.0,-2,-1,-1,"metal"
17,-0.21627749502658844,36,18,61,"reggae"
18,0.6745439767837524,2,19,40,"reggae"
19,-0.2413715049624443,14,20,39,"reggae"
20,-0.25452449917793274,9,21,36,"reggae"
21,-0.20522300153970718,34,22,31,"reggae"
22,-0.17872049659490585,27,23,24,"reggae"
23,-2.0,-2,-1,-1,"disco"
24,-0.33298999071121216,9,25,26,"reggae"
25,-2.0,-2,-1,-1,"blues"
26,-0.3000999987125397,13,27,28,"reggae"
27,-2.0,-2,-1,-1,"hiphop"
28,-0.22723950445652008,38,29,30,"reggae"
29,-2.0,-2,-1,-1,"reggae"
30,-2.0,-2,-1,-1,"reggae"
31,-0.1815664991736412,29,32,33,"disco"
32,-2.0,-2,-1,-1,"disco"
33,-0.12748700380325317,26,34,35,"hiphop"
34,-2.0,-2,-1,-1,"reggae"
35,-2.0,-2,-1,-1,"hiphop"
36,-0.14445600286126137,5,37,38,"hiphop"
37,-2.0,-2,-1,-1,"hiphop"
38,-2.0,-2,-1,-1,"reggae"
39,-2.0,-2,-1,-1,"hiphop"
40,-0.2773600071668625,13,41,58,"country"
41,0.8972119987010956,2,42,51,"blues"
42,-0.2773430049419403,7,43,44,"blues"
43,-2.0,-2,-1,-1,"blues"
44,-0.26666149497032166,3,45,50,"rock"
45,-0.3687579929828644,3,46,47,"blues"
46,-2.0,-2,-1,-1,"blues"
47,-0.1450214982032776,26,48,49,"country"
48,-2.0,-2,-1,-1,"jazz"
49,-2.0,-2,-1,-1,"country"
50,-2.0,-2,-1,-1,"rock"
51,-0.25718700140714645,6,52,57,"classical"
52,-0.28210999071598053,10,53,56,"classical"
53,-0.3264379948377609,13,54,55,"country"
54,-2.0,-2,-1,-1,"country"
55,-2.0,-2,-1,-1,"reggae"
56,-2.0,-2,-1,-1,"classical"
57,-2.0,-2,-1,-1,"jazz"
58,-0.3401755094528198,9,59,60,"country"
59,-2.0,-2,-1,-1,"blues"
60,-2.0,-2,-1,-1,"country"
61,-0.23654600232839584,9,62,97,"jazz"
62,-0.2105254977941513,5,63,90,"jazz"
63,-0.25252048671245575,10,64,75,"jazz"
64,-0.19922199845314026,33,65,70,"jazz"
65,-0.21363899856805801,33,66,69,"blues"
